,precision,recall,f1-score,support
piedra,0.43209876543209874,0.3645833333333333,0.39548022598870053,96.0
agua,0.34513274336283184,0.527027027027027,0.4171122994652406,74.0
metal,0.35714285714285715,0.05434782608695652,0.09433962264150943,92.0
papel,0.0,0.0,0.0,84.0
hojas,0.2222222222222222,0.1095890410958904,0.14678899082568808,73.0
vidrio,0.015625,0.012658227848101266,0.013986013986013986,79.0
cuero,0.11611374407582939,0.6712328767123288,0.197979797979798,73.0
plástico,0.19117647058823528,0.19402985074626866,0.1925925925925926,67.0
madera,0.0,0.0,0.0,82.0
tela,0.0,0.0,0.0,78.0
accuracy,0.18796992481203006,0.18796992481203006,0.18796992481203006,0.18796992481203006
macro avg,0.16795118028240746,0.1933468182849906,0.14582795434795431,798.0
weighted avg,0.17370948799078123,0.18796992481203006,0.14622603700471332,798.0
