,precision,recall,f1-score,support
piedra,0.5795454545454546,0.53125,0.5543478260869565,96.0
agua,0.4396551724137931,0.6891891891891891,0.5368421052631579,74.0
metal,0.25,0.03260869565217391,0.057692307692307696,92.0
papel,0.42727272727272725,0.5595238095238095,0.4845360824742268,84.0
hojas,0.3563218390804598,0.4246575342465753,0.38749999999999996,73.0
vidrio,0.21518987341772153,0.21518987341772153,0.21518987341772153,79.0
cuero,0.36257309941520466,0.8493150684931506,0.5081967213114754,73.0
plástico,0.3076923076923077,0.1791044776119403,0.22641509433962265,67.0
madera,0.4230769230769231,0.13414634146341464,0.20370370370370375,82.0
tela,0.37142857142857144,0.3333333333333333,0.35135135135135137,78.0
accuracy,0.38972431077694236,0.38972431077694236,0.38972431077694236,0.38972431077694236
macro avg,0.3732755968343163,0.3948318322931309,0.35257750656405235,798.0
weighted avg,0.37696767778846846,0.38972431077694236,0.35165064087086517,798.0
